0	0.71817	0.05900
1019	0.68350	0.03733
2027	0.74800	0.06467
3038	0.81417	0.07867
4055	0.86933	0.20400
5070	0.87833	0.28500
6075	0.90467	0.29400
7091	0.91633	0.29867
8095	0.86867	0.18200
9097	0.93033	0.32900
10166	0.93483	0.40500
11197	0.91850	0.31967
12203	0.93733	0.55400
13217	0.91333	0.35667
14243	0.93267	0.35500
15261	0.91350	0.39900
16277	0.93567	0.49067
17297	0.94317	0.59300
18297	0.94650	0.57333
19300	0.91533	0.32200
20311	0.92383	0.40167
21320	0.94950	0.54733
22327	0.95383	0.52433
23339	0.96217	0.69367
24356	0.97333	0.71467
25356	0.97383	0.72567
26362	0.97600	0.74933
27364	0.98000	0.85967
28366	0.95133	0.51400
29382	0.97533	0.84100
30393	0.98017	0.81533
31403	0.95833	0.65067
32405	0.97817	0.66433
33409	0.97950	0.85700
34416	0.98167	0.86867
